### C1: sp3 carbon
### C2: sp2 carbon
### C3: carbon in CN gp
### C4: chiral carbon (assymetric carbon)
### O1: ester =O
### O2: ester -O-
### O3: hydroxyl oxygen
### N1: Nitrogen
### H1: alkyl H
### H2: H of CH2 next to the oxygen of ester gp
### H3: H of sp2 carbon
### H4: H of carbonyl carbon
### H5: hydoxyl hydrogen
### H6: H of NH
### H7: H attached to C=O at the end
### H8: H attached to C of chlorotrifloroethylene
### F: Fluorine
### Cl: Chlorine
### S: Sulfur
### Si: Silicon

No Mass Name Pair_Coeffs
1 12.01 C1 0.10939999991572773 3.399669508450741   
2 12.01 C2 0.08600000012835884 3.399669507944831
3 12.01 C3 0.21000000185780754 3.3996695053019637
4 12.01 C4 6 0.10939999991572773 3.3996695084507409
5 16.0 O1 0.20999999984182244 2.9599219016446874
6 16.0 O2 0.17000000010548533 3.0000123432245225
7 16.0 O3 0.2104000002486992 3.0664733874581418
8 14.01 N1 0.16999999991766696 3.2499985240310356
9 1.008 H1 0.01570000002623629 2.649532787260222
10 1.008 H2 0.01570000009846142 2.4713530426421655
11 1.008 H3 0.015000000064220668 2.5996424587350853
12 1.008 H4 0.014999999991481437 2.5105525875831352
13 1.008 H5 0.0 0.0
14 1.008 H6 0.015700000004219245 1.0690784617205229
15 1.008 H7 0.015000000033271482 2.4214627154564856
16 1.008 H8 0.015700000021275418 2.2931733000782102
16 19.0 F 0.060999999861473579 3.1181455140920482
17 35.450000000000003 Cl 0.26499999913508904 3.4709414071462272
18 32.060000000000002 S 0.25 3.5635948725613571
18 28.08 Si 0.99 9.999999
